id,name,description
AT0115,Knysna-Amatole montane forests,Tropical & Subtropical Moist Broadleaf Forests
AT0116,KwaZulu-Cape coastal forest mosaic,Tropical & Subtropical Moist Broadleaf Forests
AT0119,Maputaland coastal forest mosaic,Tropical & Subtropical Moist Broadleaf Forests
AT0128,Southern Zanzibar-Inhambane coastal forest mosaic,Tropical & Subtropical Moist Broadleaf Forests
AT0203,Zambezian Cryptosepalum dry forests,Tropical & Subtropical Dry Broadleaf Forests
AT0701,Angolan Miombo woodlands,Tropical & Subtropical Grasslands
AT0702,Angolan Mopane woodlands,Tropical & Subtropical Grasslands
AT0704,Central Zambezian Miombo woodlands,Tropical & Subtropical Grasslands
AT0706,Eastern Miombo woodlands,Tropical & Subtropical Grasslands
AT0709,Kalahari Acacia-Baikiaea woodlands,Tropical & Subtropical Grasslands
AT0717,Southern Africa bushveld,Tropical & Subtropical Grasslands
AT0719,Southern Miombo woodlands,Tropical & Subtropical Grasslands
AT0724,Western Zambezian grasslands,Tropical & Subtropical Grasslands
AT0725,Zambezian and Mopane woodlands,Tropical & Subtropical Grasslands
AT0726,Zambezian Baikiaea woodlands ,Tropical & Subtropical Grasslands
AT0902,Etosha Pan halophytics,Flooded Grasslands and Savannas
AT0906,Zambezian coastal flooded savanna,Flooded Grasslands and Savannas
AT0907,Zambezian flooded grasslands,Flooded Grasslands and Savannas
AT0908,Zambezian halophytics,Flooded Grasslands and Savannas
AT1001,Angolan montane forest-grassland mosaic,Montane Grasslands and Shrublands
AT1002,Angolan scarp savanna and woodlands,Montane Grasslands and Shrublands
AT1003,Drakensberg alti-montane grasslands and woodlands,Montane Grasslands and Shrublands
AT1004,Drakensberg montane grasslands, woodlands and forests
AT1006,Eastern Zimbabwe montane forest-grassland mosaic,Montane Grasslands and Shrublands
AT1009,Highveld grasslands,Montane Grasslands and Shrublands
AT1012,Maputaland-Pondoland bushland and thickets,Montane Grasslands and Shrublands
AT1014,South Malawi montane forest-grassland mosaic,Montane Grasslands and Shrublands
AT1201,Albany thickets,Mediterranean Forests
AT1202,Lowland fynbos and renosterveld,Mediterranean Forests
AT1203,Montane fynbos and renosterveld ,Mediterranean Forests
AT1309,Kalahari xeric savanna,Deserts & Xeric Shrublands
AT1310,Kaokoveld desert,Deserts & Xeric Shrublands
AT1314,Nama Karoo,Deserts & Xeric Shrublands
AT1315,Namib desert,Deserts & Xeric Shrublands
AT1316,Namibian savanna woodlands,Deserts & Xeric Shrublands
AT1322,Succulent Karoo ,Deserts & Xeric Shrublands
AT1402,East African mangroves,Mangrove
AT1405,Southern Africa mangroves ,Mangrove
