id,name,lineage,description,latitude,longitude,varieties__ids
afr,Afrikaans,Germanic,,-33.6,19.4,
deu,Deutsch,Germanic,,,,
gwj,Gǀui,Khoe,,-23.5,23.6,
her,Otjiherero,Bantu,,-21.7,18.1,
hio-g,Tshwa/Ganadi,Khoe,, -18.50,25.70,
huc,ǂ'Amkoe,Kx'a,,-23.8,24.7,
knw,ǃXun,Kx'a,,-18.2,19.1,
ktz,Juǀ'hoansi,Kx'a,,-20.1,20.4,
kua,Oshiwambo,Bantu,,-17.7,15.7,
lwn-a,Lower Nossob/ǀ'Auni,Tuu,,-25.8,20.3,
lwn-h,Lower Nossob/ǀHaasi,Tuu,,-25.3,19.5,
naq,Khoekhoegowab,Khoe,,-23.5,17,
naq-a,Khoekhoe/ǂAakhoe,Khoe,,-17.6,18.3,
naq-d,Khoekhoe/Damara,Khoe,,-22.8,17.9,
naq-hm,Khoekhoe/Haiǁom,Khoe,,-19.1,16.5,
naq-n,Khoekhoe/Nama,Khoe,,-26.0,18,
ngh,Nǀuu,Tuu,,-28.3,21.3,"ngh-e,ngh-w"
nhr,Naro,Khoe,,-22.3,21,
nmn-a,Taa/ǃAma,Tuu,,-23.7,20.9,
nmn-e,Taa/East ǃXoon,Tuu,,-22.8,21.9,
nmn-h,Taa/ǂHuan,Tuu,,-24.6,22.7,
nmn-t,Taa/Tshaasi,Tuu,,-23.8,22.7,
nmn-w,Taa/West ǃXoon,Tuu,,-23.7,19.9,
nso,Northern Sotho,Bantu,,-23.9,29.6,
shg-da,Shua/Danisi,Khoe,, -20.20,25.30,
shg-de,Shua/Deti,Khoe,, -21.20,24.90,
sna,Shona,Bantu,,-18,30.8,
sot,Southern Sotho,Bantu,,-28.9,28,
tsn,Setswana,Bantu,,-25.7,25.45,
txk,Ts'ixa,Khoe,, -19.20,24.00,
xam,ǀXam,Tuu,,-30.8,20.4,
xho,isiXhosa,Bantu,,-31.6,28,
xkv,Shekgalagadi,Bantu,,-24.1,23.8,
xuu-a,Khwe/ǁAni,Khoe,, -18.40,21.80,
xuu-b,Khwe/Buga,Khoe,, -19.20,23.80,
xuu-k,Khwe/West Caprivi,Khoe,,-17.9,22.7,
zul,isiZulu,Bantu,,-28.5,30.6,
