id,name,generic_term,plural_form,stem,root,meaning,phonetic,grammatical_info,notes,comment,source__id,language__id,species__id,refs__ids,categories__ids
aloezebrina-afr-1,aalwee,,,,,aloe,,,,http://af.wikipedia.org/wiki/Aalwyn,http://af.wikipedia.org/wiki/Aalwyn,afr,aloezebrina,,
aloezebrina-afr-0,aalwyn,,,,,aloe,,,,http://af.wikipedia.org/wiki/Aalwyn,http://af.wikipedia.org/wiki/Aalwyn,afr,aloezebrina,,
aloecryptopoda-afr-1,"aalwyn, geelaalwyn",,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,aloecryptopoda,,
aloecryptopoda-afr-0,"aalwyn, tweekleur-aalwyn",,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,aloecryptopoda,,
orycteropusafer-afr-0,aardvark,,,,,,,,,,,afr,orycteropusafer,stuartstuart2007[296],
protelescristatus-afr-0,aardwolf,,,,,,,,,http://af.wikipedia.org/wiki/Aardwolf,http://af.wikipedia.org/wiki/Aardwolf,afr,protelescristatus,,
gypscoprotheres-afr-0,"aasvoël, kransaasvoel",,,,,,,,,,,afr,gypscoprotheres,eksteen1997[819],
gypsafricanus-afr-0,"aasvoël, witrugaasvoël",,,,,,,,,,,afr,gypsafricanus,sinclair1994[70],
aquilarapax-afr-0,"arend, roofarend",,,,,,,,,,,afr,aquilarapax,sinclair1994[76],
haliaeetusvocifer-afr-0,"arend, visarend",,,,,,,,,http://af.wikipedia.org/wiki/Visarend,http://af.wikipedia.org/wiki/Visarend,afr,haliaeetusvocifer,,
sporopipessquamifrons-afr-0,baardmannetjie,,,,,,,,,http://af.wikipedia.org/wiki/Baardmannetjie,http://af.wikipedia.org/wiki/Baardmannetjie,afr,sporopipessquamifrons,,
otocyonmegalotis-afr-2,bakoorvos,,,,,,,,,http://af.wikipedia.org/wiki/Draaijakkals,http://af.wikipedia.org/wiki/Draaijakkals,afr,otocyonmegalotis,,
acacialuederitzii-afr-0,basterhaak-en-steek,,,,,,,,,,,afr,acacialuederitzii,vanrooyen2001[30],
terathopiusecaudatus-afr-0,berghaan,,,,,,,,,http://af.wikipedia.org/wiki/Berghaan,http://af.wikipedia.org/wiki/Berghaan,afr,terathopiusecaudatus,,
cussoniapaniculata-afr-0,bergkiepersol,,,,,,,,,http://www.plantzafrica.com/plantcd/cussoniapan.htm,http://www.plantzafrica.com/plantcd/cussoniapan.htm,afr,cussoniapaniculata,,
monticolarupestris-afr-0,berglyster,,,,,,,,,http://af.wikipedia.org/wiki/Berglyster,http://af.wikipedia.org/wiki/Berglyster,afr,monticolarupestris,,
crotalariaorientalis-afr-0,besembossie,,,,,,,,,,,afr,crotalariaorientalis,vanrooyen2001[66],
crotalariaspartioides-afr-0,besembossie,,,,,,,,,,,afr,crotalariaspartioides,vanrooyen2001[66],
lippiajavanica-afr-1,beukesbossie,,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,lippiajavanica,,
