id,name,meaning,languages__id,notes
afr-amfibiee,amfibieë,amphibians,afr,
afr-bome,bome,trees,afr,
afr-diere,diere,animals,afr,
afr-grasse,grasse,grasses,afr,
afr-insekte,insekte,insects,afr,
afr-ongewerweldes,ongewerweldes,invertebrates,afr,
afr-plante,plante,plants,afr,
afr-reptiele,reptiele,reptiles,afr,
afr-soogdiere,soogdiere,mammals,afr,
afr-swamme,swamme,fungi,afr,
afr-visse,visse,fish,afr,
afr-voels,voëls,birds,afr,
deu-amphibien,Amphibien,amphibians,deu,
deu-baume,Bäume,trees,deu,
deu-fische,Fische,fish,deu,
deu-graser,Gräser,grasses,deu,
deu-insekten,Insekten,insects,deu,
deu-kletterpflanzen,Kletterpflanzen,climbers,deu,
deu-pflanzen,Pflanzen,plants,deu,
deu-pilze,Pilze,fungi,deu,
deu-reptilien,Reptilien,reptiles,deu,
deu-saugetiere,Säugetiere,mammals,deu,
deu-spinnentiere,Spinnentiere,arachnids,deu,
deu-straucher,Sträucher,shrubs,deu,
deu-tiere,Tiere,animals,deu,
deu-vogel,Vögel,birds,deu,
deu-wirbellose,Wirbellose,invertebrates,deu,
eng-amphibians,amphibians,,eng,
eng-animals,animals,,eng,
eng-arachnids,arachnids,,eng,
eng-birds,birds,,eng,
eng-bulbsherbs,bulbs & herbs,,eng,
eng-creepersclimbers,creepers & climbers,,eng,
eng-dwarfshrubs,dwarf shrubs,,eng,
eng-ferns,ferns,,eng,
eng-fungi,fungi,,eng,
eng-grassessedges,grasses & sedges,,eng,
eng-insects,insects,,eng,
eng-invertebrates,invertebrates,,eng,
eng-mammals,mammals,,eng,
eng-plants,plants,,eng,
eng-reptiles,reptiles,,eng,
eng-shrubs,shrubs,,eng,
eng-succulents,succulents,,eng,
eng-trees,trees,,eng,
nhr-cgari,cgárí,"tree, thornbush",nhr,Visser 2001: 237
nhr-chootcgau,chõó tcg'au,"vegetable eaten by whites (eg. lettuce, cabbage, spinach)",nhr,Visser 2001: 234
nhr-dere,dère,kind of nice food,nhr,Visser 2001: 234
nhr-hii,hìi,trees,nhr,Visser 2001: 237
nhr-khuuga,khúúga,Khoesan medicine (makes you fat),nhr,Visser 2001: 234
nhr-qgui,qg'ui,thistle,nhr,Visser 2001: 235
nhr-tcgaberere,tcg'aberere,"vegetable, merogo",nhr,Visser 2001: 236
nhr-tchaadikgoocoa,tchàa di kg'oo-coa,animals of the field,nhr,Visser 2001: 225
nhr-tsom,tso̠m,"greens, vegetables",nhr,Visser 2001: 236
nhr-xaedikgoocoa,x'áé di kg'oo-coa,home animals,nhr,Visser 2001: 225
nhr-xau,x'aù,fish,nhr,Visser 2001: 225
nhr-ghorokgoose,ghòrò kg'oose,"birds of prey (kite, buzzard, falcon, hawk, eagle, harrier, kestrel)",nhr,Visser 2001: 226
nhr-kgae,kg'ãe,vultures,nhr,Visser 2001: 226
nhr-tshaatsara,tshàa tsa̠ra,water birds,nhr,Visser 2001: 227
