Oxygonumdelagoense,,
abelmoschusesculentus,AT0114;AT0130;AT0722;PA0402;PA1201,FR;GN;LK;TR
abildgaardiawallichianalye,AA0402;AA0409;AA0802;AA1309;AT0713;AT0722,AU;BF;NG;SN
abrusprecatorius,AA0402;AT0707;AT0722;AT0726,AU;BJ;CI;ES;NA;NL;SN;US
abutilonangulatum,AT0907,BW
abutilonfruticosum,NA0804;NA1303,US
abutilonglaucum,,
acaciaataxacantha,AT0114;AT0130;AT0713;AT0722,BF;GN;ML
acaciacaffra,,
acaciaerioloba,AT0907;AT1309;AT1314,BW;NA
acaciaerubescens,AT0709;AT1309,NA
acaciafleckiischinz,,
acaciahaematoxylon,,
acaciahebecladahebeclada,AT0907;AT1309,BW;NA
acaciahereroensis,AT1309,NA
acaciakarroo,AT1004;AT1012;AT1203;AT1309;AT1316;PA1221;PA1222,ES;FR;NA;PT;ZA
acacialuederitzii,,
acaciamellifera,AT0702;AT0707;AT0711;AT0713;AT0722;AT0902;AT1309;AT1316,FR;ML;NA;TZ
acacianebrownii,AT0902,NA
acacianigrescens,AT0725;AT0907,BW;ZA
acacianiloticasubspkraussiana,AT0707;AT0711;AT0713;AT0722;AT0725;AT0903;AT1004;AT1320;NT0704;PA1329,BF;BR;FR;ML;MZ;OM;TZ;ZA
acaciarobusta,,
acaciasenegal,AT0707;AT0713;AT0722;AT0903;AT1309,BF;FR;ML;NA
acaciaseyal,AT0130;AT0707;AT0713;AT0715;AT0722;NT0704,BF;BR;ET;FR;GN
acaciatortilis,AT0702;AT0711;AT0713;AT0714;AT0722;AT0725;AT0902;AT0903;AT0907;AT1309;PA0445;PA1303;PA1321,BF;BW;DE;MA;ML;NA;SA;TZ;ZA
acaciatortilissubspheteracantha,AT0702;AT0711;AT0713;AT0714;AT0722;AT0725;AT0902;AT0903;AT0907;AT1309;PA0445;PA1303;PA1321,BF;BW;DE;MA;ML;NA;SA;TZ;ZA
acalyphasegetalis,AT0722,BF;BJ;NG
acanthacrisruficorniscitrina,AT0111,GH
acanthodactylusboskianus,AT0801;AT1321;PA1303;PA1325,IL;OM;SA
acanthodactylusguineensis,,
acanthoplus,,
acanthoplusdiscoidalis,,
acanthosicyosnaudinianus,,
acanthospermumhispidum,AT0707;AT0713;AT0722;AT1015;NT0109,BF;BJ;CO;ML;NG;SN;TZ
accipiterbadius,AT0111;AT0123;AT0705;AT0707;AT0711;AT0716;AT0717;AT0721;AT0722;AT0725;AT1306;AT1403;IM0111;IM0116;IM0124;IM0126;IM0134;IM0135;IM0137;IM0139;IM0151;IM0154;IM0166;IM0201;IM0202;IM0204;IM0206;IM0207;IM0208;IM0209;IM0210;IM0212;IM0901;IM1301,AE;BJ;GH;GM;IN;KE;KH;KW;LA;LK;LR;MM;NG;TH;UG;ZA
accipitermelanoleucus,AT0101;AT0102;AT0107;AT0108;AT0109;AT0111;AT0114;AT0116;AT0119;AT0121;AT0125;AT0707;AT0711;AT0715;AT0716;AT0717;AT0721;AT0725;AT1002;AT1004;AT1005;AT1007;AT1008;AT1012;AT1013;AT1203;AT1402;AT1403;AT1405,AO;CM;ET;GH;GM;GN;GQ;KE;LR;MZ;RW;SZ;TZ;UG;ZA
accipiterminullus,AT0101;AT0108;AT0109;AT0112;AT0115;AT0116;AT0119;AT0125;AT0702;AT0704;AT0705;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0907;AT0908;AT1005;AT1008;AT1012;AT1013;AT1316;AT1405;IM0166;NA0413;NT0704;PA1210,AL;BR;BW;CD;ET;IN;KE;MZ;NA;TZ;UG;US;ZA;ZM
accipiterovampensis,AT0103;AT0108;AT0702;AT0704;AT0707;AT0711;AT0712;AT0714;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1009;AT1309;AT1316,BJ;BW;CD;CM;GH;GN;KE;NA;TZ;UG;ZA;ZM;ZW
accipiterrufiventris,AT0101;AT0108;AT0109;AT0119;AT0715;AT0717;AT0719;AT0721;AT0725;AT1003;AT1004;AT1007;AT1008;AT1009;AT1015;AT1203;AT1309,ET;KE;LS;MW;SZ;TZ;UG;ZA;ZW
accipitertachiro,AT0101;AT0108;AT0109;AT0112;AT0116;AT0119;AT0125;AT0128;AT0704;AT0705;AT0707;AT0711;AT0715;AT0716;AT0719;AT0721;AT0725;AT0907;AT1004;AT1007;AT1008;AT1009;AT1012;AT1013;AT1203;AT1402;AT1405,BW;ET;GM;KE;MZ;RW;SZ;TZ;UG;ZA;ZM;ZW
