hippotragusequinus,AT0705;AT0709;AT0712;AT0717;AT0722;AT0725;AT0726;AT0907;AT1015;AT1309
turbinaoblongata,AT1004
elephantulusbrachyrhynchus,AT0725
rhinolophusblasii,PA0431
glauconycterisvariegata,AT0707;AT0716
hemachatushaemachatus,AT1009
hydrurgaleptonyx,AA0402;AA0409;AA0410;AA0801;AA1101;AN1101;AN1102;AN1103
seneciolongiflorus,AT1202
adansoniadigitata,AA1301;AT0102;AT0111;AT0706;AT0707;AT0709;AT0711;AT0713;AT0714;AT0716;AT0719;AT0722;AT0725;AT0726;AT0908;AT1302;AT1316;IM0154;NT1305
ozoroapaniculosa,
aloecryptopoda,
balaenopteraedeni,AA0402;AA0409;AT1203;NA0517;NA0529
tragelaphusangasii,AT0119;AT0725;AT1004;AT1201;AT1309;AT1314
balaenopteraphysalus,NA0411;NA0517;NA0605;PA0405;PA1201;PA1211
gnidiacapitata,
potamochoeruslarvatus,AT0725;AT1004;AT1008
acinonyxjubatus,AT0108;AT0116;AT0711;AT0714;AT0716;AT0725;AT0902;AT0907;AT1309;AT1316;NA0414
cricetomysgambianus,AT0110;AT0707;AT0718
salviaruncinata,
petromyscusbarbouri,
nycteriswoodi,
digitariaerianthasteud,AA0402
pronolagusrandensis,
centropodiaglauca,
solanumlycopersicum,AA0801;AT0108;Lake;NA0303;NT0310;OC0202;PA0402;PA0405;PA0436;PA0445;PA0608;PA1203;PA1211;PA1303
kalanchoepaniculata,
kogiasima,
paraxeruscepapi,AT0125;AT0702;AT0704;AT0709;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907
cuculusclamosus,AT0101;AT0107;AT0111;AT0115;AT0116;AT0119;AT0121;AT0123;AT0704;AT0705;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0907;AT1004;AT1005;AT1009;AT1012
sansevieriazeylanica,IM0154
phymateusviridipes,AT0108;AT0109
stipagrostisuniplumis,
mastomysshortridgei,
bostaurus,AA0402;AA0405;AA0406;AA0409;AA0801;AA0802;AT0108;AT0716;NA0407;NA0412;NA0803;NA0806;NA1302;NA1310;NT0310;PA0402;PA0405;PA0409;PA0412;PA0431;PA0445;PA0501;PA1209;PA1215
rhoicissustridentata,AT1015
hypoxisnitida,
kobusvardonii,AT0704;AT0706;AT0725
dispholidustypus,AT0109;AT0125;AT0725;AT0726;AT1004;AT1006
raphionacmeburkei,
lycaonpictus,AT0709;AT0711;AT0715;AT0719;AT0725;AT0726;AT1309
mellivoracapensis,AT0702;AT0725;AT0726;AT0902;AT0907;AT1309
cephalocrotonmollisklotsch,
suncusinfinitesimus,
aepycerosmelampusmelampus,AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1012;AT1309;AT1316
serinusalario,AT0717;AT0726;AT1009;AT1202;AT1203;AT1309;AT1314;AT1316;AT1322
ximeniaamericana,AT0707;AT0722;AT0907;AT1403;NT0206;NT0210
platycarphacarlinoides,
laniariusatrococcineus,AT0702;AT0705;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT1309;AT1316
lippiascaberrima,
cyperuslongus,AT0907;PA0402;PA0403;PA0406;PA0409;PA0425;PA0436;PA0445;PA1203;PA1204;PA1209;PA1212;PA1215;PA1216;PA1222
camelusdromedarius,AA1302;AT1306;AT1320;PA0904;PA1212;PA1213;PA1303;PA1321;PA1325;PA1329
ipomoeabolusiana,
caprahircus,AA0402;AA0404;AA0405;AA0406;AA0409;AA0802;AA1003;IM0124;IM0149;NA0303;NA0411;NA0414;NT0112;NT0145;OC0702;PA0409;PA0417;PA0429
corvinellamelanoleuca,AT0709;AT0714;AT0716;AT0717;AT0725;AT0726;AT0907
wallerianutans,
agamaaculeata,AT0701;AT0711;AT0716;AT0725;AT1309
vitexzeyheri,
myotistricolor,AT0711
elephantulusmyurus,
adeniumoleifolium,
acacianebrownii,AT0902
nectariniaamethystina,AT0108;AT0109;AT0115;AT0704;AT0711;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT1004;AT1009;AT1202;AT1309
sennaitalica,AT0722;AT1302;PA0608;PA1329
mastomyscoucha,
epomophoruswahlbergi,AT0109;AT0115;AT0125;AT0711;AT0725
pergulariadaemia,AT0109;AT0111;AT0114;AT0707;AT1314;PA1209
chlorotalpaduthieae,
acaciahebecladahebeclada,AT0907;AT1309
crotongratissimus,AT1309
vangueiriainfausta,AT0717;AT0907
hoodiagordonii,
asparaguslaricinus,
crociduraluna,
vulpeschama,AT0702;AT1309
cymbopogonplurinodis,
aristidacongesta,AT0907
phyllanthusmaderaspatensis,AT0713;AT0722
eurocephalusanguitimens,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1309;AT1316
aepycerosmelampus,AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1012;AT1309;AT1316
trichophytonschoenleinii,
monticolarupestris,AT0116;AT0717;AT0725;AT1003;AT1004;AT1009;AT1201;AT1202;AT1203
tateraafra,
citrussinensis,AA0801;AT0707;AT1403;NA0303;NA0529;NA1311;NT0205;PA0402;PA0436;PA0445;PA0608;PA1201;PA1206;PA1209;PA1211;PA1214;PA1215;PA1220;PA1221
rousettusangolensis,
cyperusdenudatus,AT0907
reduncafulvorufula,AT0714;AT1004;AT1008
taeniasolium,
tockuserythrorhynchus,AT0108;AT0109;AT0112;AT0705;AT0707;AT0711;AT0715;AT0716;AT0722;AT1005;AT1007;AT1008
tytocapensis,AA0105;AA0117;AA0402;AA0701;AA0702;AA0703;AA0706;AA0707;AA1309;AT0101;AT0115;AT0705;AT0711;AT0717;AT0725;AT1004;AT1009;AT1203;IM0209
suncusvarilla,
