id,scientific_name,species_description,english_name,kingdom,order,family,genus,characteristics,biotope,ecoregions__ids,countries__ids,general_uses,notes,refs__ids,wikipedia_url,eol_id,links
abelmoschusesculentus,Abelmoschus esculentus,,okra,Plantae,Malvales,Malvaceae,Abelmoschus,,,AT0114;AT0130;AT0722;PA1201,GN;FR;TR;LK,,,,,584458,
abildgaardiawallichianalye,Abildgaardia wallichiana Lye,,,,,,,,,AA0402;AA0409;AA0802;AA1309;AT0713;AT0722,BF;AU;SN;NG,,,,,42018450,
abrusprecatorius,Abrus precatorius,,rosary pea,Plantae,Fabales,Fabaceae,Abrus,,,AA0402;AT0707;AT0722;AT0726,CI;NL;NA;US;AU;SN;BJ;ES,,,,,642979,
abutilonfruticosum,Abutilon fruticosum,,Texas Indian-mallow,Plantae,Malvales,Malvaceae,Abutilon,,,NA0804;NA1303,US,,,,,597501,
abutilonglaucum,Abutilon glaucum,,,Viridiplantae,Malvales,Malvaceae,Abutilon,,,,,,,,,2884897,
acaciaataxacantha,Acacia ataxacantha,,Flamethorn,Plantae,Fabales,Fabaceae,Acacia,,,AT1309,"BW,ZA",,,,http://en.wikipedia.org/wiki/Senegalia_ataxacantha,648867,
acaciacaffra,Acacia caffra,,Cat-thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Senegalia_caffra,660853,
acaciaerioloba,Acacia erioloba,,Camel thorn,Plantae,Fabales,Fabaceae,Acacia,"4 - 12 m tall, yellow flowers, woody pods 130 mm long, grey-green leaves 100 mm, leaflets 13 mm, straight thorns 60 mm, rough fissured bark","arid savanna, grassland, dry river course",AT1309,"BW,NA,ZA",,"old name: Acacia giraffae (vanderwalt1999), synonym: Vachellia erioloba (Wikipedia)",carruthers2000[250];vanderwalt1999[39];vanrooyen2001[26],http://en.wikipedia.org/wiki/Vachellia_erioloba,678840,
acaciafleckiischinz,Acacia fleckii Schinz,,Blade thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT1309,"BW,ZA",,,,http://en.wikipedia.org/wiki/Acacia_Fleckii_Schinz,682694,
acaciahaematoxylon,Acacia haematoxylon,,Grey camel thorn,Plantae,Fabales,Fabaceae,Acacia,"up to 8 m tall, yellow flowers, leaves and pods with fine grey hairs","desert, semi-desert, sandy soil, dune",AT1309,"BW,NA,ZA",,,vanderwalt1999[47];vanrooyen2001[28],http://en.wikipedia.org/wiki/Vachellia_haematoxylon,684631,
acaciahebecladahebeclada,Acacia hebeclada hebeclada,,Candle thorn,Plantae,Fabales,Fabaceae,Acacia,"2 – 6 m tall, white flowers, hairy leaves and pods","dry savanna, grassland, dry river course, dune",AT1309,"BW,NA,ZA",,"A. hebeclada in vanderwalt1999[51]; A. hebeclada hebeclada is a subspecies, for the species also eol 685061, seems to be renamed to Vachellia hebeclada (cf http://en.wikipedia.org/wiki/Vachellia)",vanderwalt1999[51];vanrooyen2001[42],not in Wikipedia,1230788,
acaciahereroensis,Acacia hereroensis,,Mountain thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acacia_hereroensis,685442,
acaciakarroo,Acacia karroo,,Sweet thorn,Plantae,Fabales,Fabaceae,Acacia,"3 - 6 m tall, yellow flowers","savanna, arid savanna, grassland, river course",AT0709,"BW,ZA",,,carruthers2000[250];vanrooyen2001[30],http://en.wikipedia.org/wiki/Acacia_karroo,685899,
acacialuederitzii,Acacia luederitzii,,Kalahari-sand acacia,Plantae,Fabales,Fabaceae,Acacia,"up to 8 m tall, creamy-white flowers","shrubland, grassland",AT1309,"BW,NA,ZA",,"cf. Acacia reficiens (vanderwalt1999[49] says A. reficiens was formerly used, but still seems to be used or is at least very similar); False umbrella thorn in words.csv and vanderwalt1999[49], maybe change name here?; seems to be renamed to Vachellia (cf http://en.wikipedia.org/wiki/Vachellia)",vanderwalt1999[49];vanrooyen2001[30],not in Wikipedia,686460,
acaciamellifera,Acacia mellifera,,Black thorn,Plantae,Fabales,Fabaceae,Acacia,"shrub, white flowers, small feather-shaped round leaves, small blackish hook thorns in pairs, very thorny","dry savanna, grassland",AT1309,"BW,NA,ZA",,,vanderwalt1999[64];vanrooyen2001[42],http://en.wikipedia.org/wiki/Senegalia_mellifera,686993,
acacianebrownii,Acacia nebrownii,,Water thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT1309,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acacia_nebrownii,687184,
acacianigrescens,Acacia nigrescens,,Knob thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,ZA",,,,http://en.wikipedia.org/wiki/Acacia_nigrescens,687250,
acacianiloticasubspkraussiana,Acacia nilotica subsp. kraussiana,,"Scented thorn, Scented-pod acacia",Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acacia_nilotica_subsp._kraussiana,1230733,
acaciarobusta,Acacia robusta,,Splendid thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acacia_robusta,689994,
acaciasenegal,Acacia senegal,,Senegal gum,Plantae,Fabales,Fabaceae,Acacia,,,,,,Senegalia senegal in Wikipedia,,http://en.wikipedia.org/wiki/Senegalia_senegal,690612,
acaciaseyal,Acacia seyal,,talh,Plantae,Fabales,Fabaceae,Acacia,,,AT0130;AT0707;AT0713;AT0715;AT0722;NT0704,GN;FR;BF;BR;ET,,,,,690615,
acaciatortilis,Acacia tortilis,,umbrella thorn,,,,,,,AT0702;AT0711;AT0713;AT0714;AT0722;AT0725;AT0902;AT0903;AT0907;AT1309;PA0445;PA1303;PA1321,BF;MA;NA;DE;ZA;BW;ML;TZ;SA,,,,,691093,
acaciatortilissubspheteracantha,Acacia tortilis subsp. heteracantha,,Umbrella thorn,Plantae,Fabales,Fabaceae,Acacia,,,AT0709,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acacia_tortilis_subsp_heteracantha,1230610,
acanthacrisruficorniscitrina,Acanthacris ruficornis citrina,,,Animalia,Orthoptera,Acrididae,Acanthacris,,,AT0111,GH,,,,,1253512,
acanthodactylusboskianus,Acanthodactylus boskianus,,Bosk's Fringe-fingered Lizard,Animalia,Squamata,Lacertidae,Acanthodactylus,,,AT0801;AT1321;PA1303;PA1325,SA;OM;IL,,,,,1057284,
acanthodactylusguineensis,Acanthodactylus guineensis,,Guinea Fringe-fingered Lizard,Animalia,Squamata,Lacertidae,Acanthodactylus,,,,,,,,,1057277,
acanthoplusdiscoidalis,Acanthoplus discoidalis,,Armoured ground cricket,Animalia,,,,,,,,,,,http://en.wikipedia.org/wiki/Acanthoplus_discoidalis,651276,
