id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,source_url,comments
e835f073f976c47ea5a7e74523c6116f,aquilarapax,general;front;thumbnail1,image/jpeg,,Brian Ralphs,2009-03-18,"Kgalagadi Transfrontier Park, South Africa",,http://creativecommons.org/licenses/by/2.0/deed.en,http://commons.wikimedia.org/wiki/File:2009-03-18_Kalahara_Grootkolk_081.jpg,http://upload.wikimedia.org/wikipedia/commons/3/38/2009-03-18_Kalahara_Grootkolk_081.jpg,title 'Tawny Eagle Aquila rapax'
0d63288ab8f2e59ddf68abff6a0c2b16,aquilarapax,general;flying;thumbnail2,image/jpeg,,Lip Kee,2008-08-29,"Masai Mara, Kenya",-2.008 34.716,https://creativecommons.org/licenses/by-sa/2.0/,https://www.flickr.com/photos/lipkee/2833058186/sizes/o/,https://farm4.staticflickr.com/3019/2833058186_e7eb2d28ed_o.jpg,title 'Tawny Eagle (Aquila rapax)'
f980a8dd393a4e7d2ccdf7bf79adec46,bufogutturalis,general;back;thumbnail1,image/jpeg,,Damien Boilley,2005-12-27,"Mafate, Reunion Island",,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/damouns/78968973/sizes/o/,https://farm1.staticflickr.com/39/78968973_f30ad8c62d_o.jpg,title 'Bufo gutturalis'
5cc7c774b1b14917aa57a055f4e042d2,bufogutturalis,general;side;thumbnail2,image/jpeg,,Jean-Jacques ARGOUD,2004-07-21,"St Paul, Reunion Island",,http://creativecommons.org/licenses/by-sa/3.0/deed.en,http://commons.wikimedia.org/wiki/File:Bufo_guturalis_StPaul.jpg,http://upload.wikimedia.org/wikipedia/commons/3/39/Bufo_guturalis_StPaul.jpg,title 'South African toad'
87864e0cd38eafef7176c0fee96b6e03,aepycerosmelampusmelampus,general;pair;,image/jpeg,,Christopher T Cooper,2011-12-17,"Taita Hills Wildlife Sanctuary, Kenya",-3.569555 38.212417,http://creativecommons.org/licenses/by/3.0,"http://commons.wikimedia.org/wiki/File:Aepyceros_melampus_melampus_pair_within_shade_south_of_the_Salt_Lick_Game_Lodge_in_the_Taita_Hills_Wildlife_Sanctuary,_Kenya_2.jpg",http://upload.wikimedia.org/wikipedia/commons/b/b9/Aepyceros_melampus_melampus_pair_within_shade_south_of_the_Salt_Lick_Game_Lodge_in_the_Taita_Hills_Wildlife_Sanctuary%2C_Kenya_2.jpg,"title Aepyceros melampus melampus (common impala) group, within the shade created by Acacia xanthophloea (fever trees), south of the Salt Lick Game Lodge, near the eastern boundary of the LUMO Community Wildlife Sanctuary, in the Taita Hills Wildlife Sanctuary, Kenya. This herd consists of two males (rams), one mature and one young, and many females (ewes)"
ade0585993bd76225cc8d3896a1d9105,aepycerosmelampuspetersi,general;thumbnail1,image/jpeg,,Hans Hillewaert,2007-06-29,"Etosha National Park, Namibia",-19.214861 16.174914,http://creativecommons.org/licenses/by-sa/4.0,http://commons.wikimedia.org/wiki/File:Aepyceros_melampus_petersi_1.jpg,http://upload.wikimedia.org/wikipedia/commons/e/e0/Aepyceros_melampus_petersi_1.jpg,title A male Black-faced Impala between Olifantsbad and Aus
0265c8acaaf64ff8ff0a19879a9f9e5e,aepycerosmelampuspetersi,general;female;young;thumbnail2,image/jpeg,,Yathin S Krishnappa,2014-02-13,Etosha,,http://creativecommons.org/licenses/by-sa/3.0,http://commons.wikimedia.org/wiki/File:Aepyceros_melampus_petersi_-_Etosha_2014.jpg,http://upload.wikimedia.org/wikipedia/commons/d/d4/Aepyceros_melampus_petersi_-_Etosha_2014.jpg,title Female black-faced impala and offspring
16a4cfe484700decacd3a238cdaa7cf2,alcelaphusbuselaphus,general;back;thumbnail1,image/jpeg,,Hans Hillewaert,2007-06-29,"Etosha National Park, Namibia",-19.216961 16.174706,http://creativecommons.org/licenses/by-sa/4.0,http://commons.wikimedia.org/wiki/File:Alcelaphus_caama.jpg,http://upload.wikimedia.org/wikipedia/commons/1/1d/Alcelaphus_caama.jpg,title Red Hartebeest in Namibia
c488719fefefcdc4c66da062b802b7fc,caprahircus,general;thumbnail1,image/jpeg,,Simon J. Tonge,2013-02-15,"Berlin Tierpark, Germany",,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/23310336,http://media.eol.org/content/2013/06/28/15/15925_orig.jpg,
d959efd51b2289658e6bc4a26f2bad1b,caprahircus,general;group;thumbnail2,image/jpeg,,High Contrast,,Morocco,,http://creativecommons.org/licenses/by/3.0/,http://media.eol.org/data_objects/25652507,http://media.eol.org/content/2014/05/02/09/50266_orig.jpg,<b>German:</b> Ziegen auf einem Baum in Marokko. <b>English:</b> Goats in a tree in Morocco.
