id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
abelmoschuscaillei,Abelmoschus manihot,Abelmoschus caillei (A.Chev.) Stevels,(L.) Medik.,,Plantae,,,,,Abelmoschus,,,,,,,,[PROTA],
abelmoschusesculentus,Abelmoschus esculentus,,(L.) Moench,okra,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,"annual herb up to 5 m tall, stem succulent with hairs, leaves up to 50 cm wide and 35 cm long and hairy on both surfaces, flowers yellow with a dark red, purple or mauve centre, capsule fruits 10-20 cm long green to yellow to purple-red and at majurity brown, 100 seeds per  capsule",,"FR,GN,LK,TR",1,,"food, drink, traditional medicine, fibre, Okra leaves and seed-cake as cattle feed,",cultigen plant,Blench2012[4],http://www.kew.org/science-conservation/plants-fungi/abelmoschus-esculentus-okra
abelmoschusficulneus,Abelmoschus ficulneus,"Abelmoschus alborubens Benth., Hibiscus ficulneus L.",(L.) Wight & Arn.,,Plantae,,,,,Abelmoschus,,,,,,,,[PROTA],
abromaaugusta,Abroma augusta,"Abroma alata Blanco, Abroma angulata Lam.",(L.) L.f.,,Plantae,,,,,Abroma,,,,,,,,[PROTA],
abrusprecatorius,Abrus precatorius,,L.,"rosary pea, jumbie bead",Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Abrus,,,"AU,BJ,CI,ES,NA,NL,SN,US",,,,,Blench2012[1],
abutilonangulatum,Abutilon angulatum,,(Guill. & Perr.) Mast.,Fluted abutilon,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,,,,,,,,,
abutilonfruticosum,Abutilon fruticosum,,Guill. & Perr.,Texas Indian mallow,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,,,US,,,,,,
abutilonglaucum,Abutilon glaucum,,(Forst. f.) Schltdl.,,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,,,,,,,,,
abutilongrandifolium,Abutilon grandifolium,"Sida grandifolia Willd. (1809), Abutilon tortuosum Guill. & Perr. (1831)",,"Hairy abutilon, hairy Indian mallow",Plantae,,,,,Abutilon,,,"ZA, SN, BF, ML, MZ, RE",,,"fibre plant, ornamental, treatment of measles, treatment of insect bites",native to South America,[PROTA],
abutilonhirtum,Abutilon hirtum,,,Florida Keys Indian mallow,Plantae,,,,,Abutilon,,,"ZA, NE, NG, ER, ET, SO, NA, BW, ZW, MZ",,,,,[PROTA],
abutilonlongicuspe,Abutilon longicuspe,,,,Plantae,,,,,Abutilon,,,,,,,,[PROTA],
abutilonmauritianum,Abutilon mauritianum,,,,Plantae,,,,,Abutilon,,,,,,,,[PROTA],
abutilonramosum,Abutilon ramosum,,,,Plantae,,,,,Abutilon,,,,,,,,[PROTA],
acaciaataxacantha,Acacia ataxacantha,,DC.,Flame thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,,,
acaciaburkei,Acacia burkei,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciacaffra,Acacia caffra,,(Thunb.)Willd.,Cat-thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,,,
acaciaerioloba,Acacia erioloba,Acacia giraffae;Vachellia erioloba,E.Mey.,Camel Thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"4 - 12 m tall, yellow flowers, woody pods 130 mm long, grey-green leaves 100 mm, leaflets 13 mm, straight thorns 60 mm, rough fissured bark","arid savanna, grassland, dry river course","BW,NA,ZA",,,,,,
acaciaerubescens,Acacia erubescens,,Oliv.,Blue thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,,,,,,,
acaciafleckii,Acacia fleckii,,Schinz,Blade thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,,,
acaciagalpinii,Acacia galpinii,,Burtt Davy,,Plantae,,,,,Acacia,,,,,,,,[plantzafrica.com],
acaciagerrardii,Acacia gerrardii,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciagoetzei,Acacia goetzei,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciagourmaensis,Acacia gourmaensis,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciahaematoxylon,Acacia haematoxylon,,Willd.,Grey camelthorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"up to 8 m tall, yellow flowers, leaves and pods with fine grey hairs","desert, semi-desert, sandy soil, dune","BW,NA,ZA",,,,,,
acaciahebeclada,Acacia hebeclada,,DC.,Candle thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"2 â€“ 6 m tall, white flowers, hairy leaves and pods","dry savanna, grassland, dry river course, dune","BW,NA,ZA",,,,"A. hebeclada in vanderwalt1999[51]; A. hebeclada hebeclada is a subspecies, for the species also eol 685061, seems to be renamed to Vachellia hebeclada (cf http://en.wikipedia.org/wiki/Vachellia)",,
acaciahereroensis,Acacia hereroensis,,Engl.,Mountain thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"5 m tall; paired, hooked thorns; long spikes of cream-coloured flowers; fruit is a long, flat, red-brown pod",rocky area,"BW,NA,ZA",,,,,,
acaciaheterophylla,Acacia heterophylla,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciakamerunensis,Acacia kamerunensis,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciakarroo,Acacia karroo,,Hayne,Sweet Thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"3 - 6 m tall, yellow flowers","savanna, arid savanna, grassland, river course","BW,ZA",,,,,,
acacialuederitzii,Acacia luederitzii,Acacia reficiens?,Engl.,Kalahari-sand acacia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"up to 8 m tall, creamy-white flowers","shrubland, grassland","BW,NA,ZA",,,,"cf. Acacia reficiens (vanderwalt1999[49] says A. reficiens was formerly used, but still seems to be used or is at least very similar); False umbrella thorn in words.csv and vanderwalt1999[49], maybe change name here?; seems to be renamed to Vachellia (cf http://en.wikipedia.org/wiki/Vachellia)",,
acaciamearnsii,Acacia mearnsii,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciamelanoxylon,Acacia melanoxylon,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciamellifera,Acacia mellifera,,(M.Vahl)Benth.,blackthorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,"shrub, white flowers, small feather-shaped round leaves, small blackish hook thorns in pairs, very thorny","dry savanna, grassland","BW,NA,ZA",,,,,,
acacianebrownii,Acacia nebrownii,,Burtt Davy,Water thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,,,
acacianigrescens,Acacia nigrescens,,Oliv.,knobthorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,ZA",,,,,,
acacianiloticasubsp.kraussi,Acacia nilotica subsp. kraussiana,,(Benth.)Brenan,"Scented thorn, Scented-pod acacia",Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,,,
acaciapolyacantha,Acacia polyacantha,,Willd.,,Plantae,,,,,Acacia,,,,,,,,[plantzafrica.com],
acaciarobusta,Acacia robusta,,Burch.,Splendid thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,,,
acaciarovumae,Acacia rovumae,,,,Plantae,,,,,Acacia,,,,,,,,[PROTA],
acaciasenegal,Acacia senegal,Senegalia senegal,(L.)Willd.,Senegal Gum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,,,,,,,
acaciaseyal,Acacia seyal,,Delile,talh,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BF,BR,ET,FR,GN",,,,,,
acaciasieberianavar.woodii,Acacia sieberiana var. woodii,,(Burtt Davy) Keay & Brenan,,Plantae,,,,,Acacia,,,,,,,,[plantzafrica.com],
acaciatortilis,Acacia tortilis,,(Forssk.)Hayne,umbrella thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BF,BW,DE,MA,ML,NA,SA,TZ,ZA",,,,,,
acaciatortilissubsp.heterac,Acacia tortilis subsp. heteracantha,,(Burch.)Brenan,Umbrella thorn,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,,"BW,NA,ZA",,,,,,
acaciaxanthophloea,Acacia xanthophloea,,Benth.,,Plantae,,,,,Acacia,,,,,,,,[plantzafrica.com],
acalyphaallenii,Acalypha allenii,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphaambigua,Acalypha ambigua,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphaandringitrensis,Acalypha andringitrensis,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphabipartita,Acalypha bipartita,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphachirindica,Acalypha chirindica,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphaciliata,Acalypha ciliata,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphadecaryana,Acalypha decaryana,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphaengleri,Acalypha engleri,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphafiliformis,Acalypha filiformis,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
acalyphafruticosa,Acalypha fruticosa,,,,Plantae,,,,,Acalypha,,,,,,,,[PROTA],
