id,name,generic_term,plural_form,stem,root,meaning,phonetic,grammatical_info,notes,comment,source__id,language__id,species__id,refs__ids,categories__ids
acaciaataxacantha-afr-0,vlamdoring,doring,,,,,,,,http://www.plantzafrica.com/plantab/acaciaataxa.htm,http://www.plantzafrica.com/plantab/acaciaataxa.htm,afr,acaciaataxacantha,,afr-bome;afr-plante
acaciaataxacantha-afr-1,rank wag-'n-bietjie,doring,,,,,,,,http://www.plantzafrica.com/plantab/acaciaataxa.htm,http://www.plantzafrica.com/plantab/acaciaataxa.htm,afr,acaciaataxacantha,,afr-bome;afr-plante
acaciacaffra-afr-0,gewone haakdoring,doring,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,acaciacaffra,,afr-bome;afr-plante
acaciacaffra-afr-1,katdoring,doring,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,acaciacaffra,,afr-bome;afr-plante
acaciaerioloba-afr-0,kameeldoring,doring,,,,,,,,,,afr,acaciaerioloba,vanrooyen2001[26],afr-bome;afr-plante
acaciahebecladahebeclada-afr-0,trassie bos,bos,,,,,,,,,,afr,acaciahebecladahebeclada,vanrooyen2001[42],afr-plante
acaciakarroo-afr-0,soetdoring,doring,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,acaciakarroo,,afr-bome;afr-plante
acacialuederitzii-afr-0,basterhaak-en-steek,basterhaak-en-steek,,,,,,,,,,afr,acacialuederitzii,vanrooyen2001[30],afr-bome;afr-plante
acacialuederitzii-afr-1,swartbas,,,,,,,,,,,afr,acacialuederitzii,vanrooyen2001[30],afr-bome;afr-plante
acaciamellifera-afr-0,swarthaak,swarthaak,,,,,,,,,,afr,acaciamellifera,vanrooyen2001[42],afr-plante
acaciamellifera-afr-1,gnoibos,bos,,,,,,,,,,afr,acaciamellifera,vanrooyen2001[42],afr-plante
acacianigrescens-afr-0,knoppiesdoring,doring,,,,,,,,,,afr,acacianigrescens,snymaned1990[282],afr-bome;afr-plante
acacianiloticasubspkraussiana-afr-0,lekkerruikpeul,,,,,,,,,http://www.plantzafrica.com/frames/plantsfram.htm,http://www.plantzafrica.com/frames/plantsfram.htm,afr,acacianiloticasubspkraussiana,,afr-bome;afr-plante
acanthosicyosnaudinianus-afr-0,gemsbokkomkommer,komkommer,,,,,,,,,,afr,acanthosicyosnaudinianus,vanrooyen2001[146],afr-plante
accipiterbadius-afr-0,gebande sperwer,sperwer,,,,,,,,,,afr,accipiterbadius,sinclair1994[86],afr-voels;afr-diere
acinonyxjubatus-afr-0,jagluiperd,jagluiperd,,,,,,,,http://af.wikipedia.org/wiki/Jagluiperd,http://af.wikipedia.org/wiki/Jagluiperd,afr,acinonyxjubatus,,afr-soogdiere;afr-diere
